text,raw_data_id
"<|user|> What are the physical signs of acute lymphoblastic leukemia? <|eos|> <|ai|> The physical signs of acute lymphoblastic leukemia include swollen glands.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> What happens if the blood sample contains a high number of abnormal white blood cells? <|eos|> <|ai|> If the blood sample contains a high number of abnormal white blood cells, it could indicate acute leukemia.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> What is a bone marrow biopsy? <|eos|> <|ai|> A bone marrow biopsy is a procedure where a small sample of bone marrow is taken from a patient using a needle, and then examined under a microscope to check for cancerous cells.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> Is the bone marrow biopsy painful? <|eos|> <|ai|> The bone marrow biopsy procedure involves the use of a local anesthetic to numb the skin over a bone to prevent any pain. Once the anesthetic wears off, one may experience some pain, bruising and discomfort for a few days afterwards.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> What happens after a bone marrow biopsy? <|eos|> <|ai|> After a bone marrow biopsy, one will have a dressing over the area of the body where the bone marrow was removed, which should be kept on for 24 hours. The bone marrow sample will be checked for cancerous cells and the type of acute leukemia will be determined at the same time.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> What is cytogenetic testing? <|eos|> <|ai|> Cytogenetic testing is a test that involves identifying the genetic make-up of the cancerous cells in a sample of blood, bone marrow or another type of tissue to determine the specific genetic variations that can occur during leukemia.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> What is immunophenotyping? <|eos|> <|ai|> Immunophenotyping is a test to help identify the exact type of acute lymphoblastic leukemia, as treatments may differ slightly for each type of acute lymphoblastic leukemia. A sample of blood, bone marrow or another type of fluid is studied.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> What is a lumbar puncture? <|eos|> <|ai|> A lumbar puncture is a medical procedure where a needle is inserted into the lower part of somebody's spine to extract a small sample of cerebrospinal fluid to test for cancer cells, to see whether there is a chance that acute leukemia has spread to the nervous system.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> What is a CT scan used for in the context of acute lymphoblastic leukemia? <|eos|> <|ai|> If somebody has been diagnosed with acute lymphoblastic leukemia, a CT scan may be used to assess how far the cancer has spread and to check that their organs, such as their heart and lungs, are healthy.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> What is a polymerase chain reaction (PCR) test used for in the context of acute lymphoblastic leukemia? <|eos|> <|ai|> A PCR test can be done on a blood sample to help diagnose and monitor the response to treatment. The blood test is repeated every 3 months for at least 2 years after starting treatment, then less often once remission is achieved.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/ <|eos|> <|eod|>",0
"<|user|> What is acute lymphoblastic leukemia? <|eos|> <|ai|> Acute lymphoblastic leukemia is a type of cancer that affects white blood cells. It progresses quickly and aggressively and requires immediate treatment. Both adults and children can be affected.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/ <|eos|> <|eod|>",0
"<|user|> What are the symptoms of acute lymphoblastic leukemia?  <|eos|> <|ai|> Some of the symptoms of acute lymphoblastic leukemia include pale skin, feeling tired and breathless, repeated infections over a short time, unusual and frequent bleeding, high temperature, night sweats, bone and joint pain, tummy (abdominal pain) and more.
References:
- https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/ <|eos|> <|eod|>",0
